Data Analysis Run
	ROI:	[2300 2900 1200 2000]
	ROIbox:	[ 2299.5  2899.5  1199.5  1999.5]
	SOI:	[2000 3200  800 2400]
	extent:	[ 1999.5  3199.5   799.5  2399.5]
	high:	255
	ind:	[ 300  900  400 1200]
	low:	15

Checking/finding image files...
Number of files found*:	801
Number of errors:      	3
*Excluding duplicates.

Errors:
run	key1	key2	start	stop	serial numumber	number found
1	room	main	67	73	67	0
1	cryo	main	121	129	125	0
2	grid	cryo	556	565	560	0
Run	Type	Set	Current	Serial Num.	Mean x	Std. Dev. x	Mean y	Std. Dev. y
1	room	main	1.372	110	2684.002459419577	178.7178759589005	1633.5474667978358	208.78322291531688
1	cryo	trapped	0.0	201	2567.7282237800528	38.77630267882555	1504.4546648546298	110.78015112317804
1	cryo	trapped	0.0	202	2568.1929381960576	39.48864667455734	1507.745356107762	109.63537891913373
1	cryo	trapped	0.0	203	2568.5867052326744	40.309988086191254	1501.9783031190143	111.64929562444985
1	cryo	trapped	0.0	204	2568.2819399753457	38.70461844737584	1505.5242037744113	109.36935613924233
1	cryo	trapped	0.0	205	2567.6953401074366	39.4997751353557	1502.1768526308977	110.14709009751769
1	cryo	main	0.0	111	2553.416678247028	51.77159747055131	1512.276013492174	117.07964481441537
1	cryo	main	0.0	112	2552.6776705290895	46.981128347357604	1509.4583282802112	113.06451290861486
1	cryo	main	0.0	113	2551.2556365811406	41.22094960675612	1514.1937341362202	108.46966323899802
1	cryo	main	0.0	114	2558.995402138432	42.00060959838848	1498.4394485667542	111.13153471081812
1	cryo	main	0.0	115	2558.7556484103543	40.78179423105638	1504.3003341664403	109.90914765988344
1	cryo	main	0.101	116	2558.146118603467	44.296306554865815	1504.4231873422104	111.69196283749694
1	cryo	main	0.101	117	2556.368497680092	39.71995753182732	1506.019752104659	109.74021030736591
1	cryo	main	0.101	118	2555.524119599536	40.712411470457596	1506.8966834876003	108.67814103755923
1	cryo	main	0.101	119	2553.8467872553115	42.034095717592336	1513.505058269749	109.4101687913941
1	cryo	main	0.101	120	2557.967292736844	40.812131906536	1513.5346268229457	106.47317696229035
1	cryo	main	0.2	121	2561.2625107803897	43.53153524167143	1503.5466549990997	113.62484018689686
1	cryo	main	0.2	122	2555.1760634112143	42.603438308647235	1507.5057072954373	110.71635011292032
1	cryo	main	0.2	123	2552.19796817939	40.77966123785893	1512.926630782832	108.27283799292863
1	cryo	main	0.2	124	2552.0527072697205	42.61038458941363	1517.8636723167535	108.55109175352996
1	cryo	main	0.2	126	2555.8721516610094	41.18688259871517	1512.741444549552	109.96831073812402
1	cryo	main	0.2	127	2553.82337560237	40.702917878377654	1511.7695488229215	107.10798153299064
1	cryo	main	0.2	128	2555.4839358984286	41.23090213552832	1508.9436339707363	110.48947430810153
1	cryo	main	0.29	129	2555.363774292483	42.3445362303888	1511.6145203315991	108.69688863900787
